,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
327,mandalgovi,22,MN,1569565567,26,45.76,106.27,294.472,9.84
328,majene,52,ID,1569565815,66,-3.54,118.97,301.722,4.5
329,terrasini,40,IT,1569565816,78,38.15,13.08,296.48,5.1
330,tilichiki,82,RU,1569565816,76,60.47,166.1,277.742,3.87
331,fantanele,0,RO,1569565817,93,46.12,21.4,287.59,1.5
332,broken hill,8,AU,1569565672,11,-31.97,141.45,300.15,4.1
333,singaraja,39,ID,1569565818,71,-8.11,115.08,300.982,4.84
334,mugur-aksy,13,RU,1569565818,34,50.38,90.44,277.882,5.69
335,gorontalo,49,ID,1569565818,58,0.54,123.06,303.082,3.22
336,mingaora,13,PK,1569565635,56,34.78,72.36,296.772,3.04
337,parsons,1,US,1569565819,94,37.34,-95.26,294.15,3.6
338,dromolaxia,40,CY,1569565819,69,34.88,33.59,300.15,3.1
339,aykhal,90,RU,1569565550,64,65.95,111.51,275.15,2.0
340,mahebourg,40,MU,1569565820,69,-20.41,57.7,299.15,6.7
341,kisangani,100,CD,1569565821,97,0.52,25.21,294.852,1.77
342,manbij,0,SY,1569565821,38,36.53,37.96,297.15,3.61
343,adrar,0,DZ,1569565640,13,27.87,-0.29,298.15,3.6
344,mahibadhoo,93,MV,1569565646,67,3.78,72.97,301.522,3.05
345,alghero,40,IT,1569565823,93,40.56,8.32,294.26,1.0
346,saint anthony,75,US,1569565823,62,43.97,-111.68,288.15,3.1
347,grindavik,75,IS,1569565617,76,63.84,-22.43,287.15,4.1
348,siderno,75,IT,1569565823,83,38.28,16.3,297.15,1.0
349,awjilah,0,LY,1569565824,51,29.14,21.3,296.272,0.83
350,magole,75,TZ,1569565824,78,-6.37,37.37,295.15,2.44
351,petropavlovsk-kamchatskiy,0,RU,1569565671,35,53.05,158.65,286.15,10.0
352,hambantota,90,LK,1569565521,89,6.12,81.12,302.15,2.6
353,praia da vitoria,20,PT,1569565825,83,38.73,-27.07,295.15,4.6
354,sijunjung,10,ID,1569565825,58,-0.69,100.95,301.002,1.53
355,samfya,2,ZM,1569565825,47,-11.37,29.56,290.012,4.35
356,roros,75,NO,1569565826,87,62.57,11.38,279.15,5.1
357,prachuap khiri khan,50,TH,1569565826,77,11.81,99.79,298.852,2.37
358,baykit,92,RU,1569565826,66,61.68,96.39,275.052,3.4
359,brae,20,GB,1569565826,93,60.4,-1.35,285.15,7.7
360,puri,10,ID,1569565827,30,-7.54,112.45,309.872,6.55
361,orchard homes,90,US,1569565827,93,46.86,-114.05,283.15,1.27
362,isiro,99,CD,1569565827,98,2.77,27.62,294.202,0.18
363,kabale,97,UG,1569565827,86,-1.26,29.99,286.712,2.29
364,santa maria,0,BR,1569565828,88,-16.02,-48.01,292.15,1.0
365,luxor,0,EG,1569565828,44,25.7,32.65,297.15,2.21
366,irece,1,BR,1569565828,88,-11.3,-41.86,289.692,3.95
367,pekan,75,MY,1569565829,74,3.49,103.39,303.15,1.5
368,cidreira,0,BR,1569565647,92,-30.17,-50.22,287.182,2.32
369,changji,0,CN,1569565829,24,32.07,116.17,302.922,3.41
370,bonavista,77,CA,1569565830,83,48.65,-53.11,282.04,2.24
371,olinda,90,AU,1569565830,81,-37.84,145.39,285.93,7.2
372,xiaoweizhai,5,CN,1569565830,47,26.23,107.51,297.262,1.81
373,ingham,93,AU,1569565830,59,-18.65,146.16,298.992,3.1
374,wangqing,0,CN,1569565831,54,43.31,129.76,297.762,1.2
375,halifax,90,CA,1569565136,100,44.65,-63.58,288.71,4.6
376,puerto leguizamo,2,CO,1569565832,84,-0.19,-74.78,295.992,1.18
377,okhotsk,58,RU,1569565832,49,59.36,143.24,283.232,2.62
378,gulariya,100,IN,1569565833,93,28.2,81.35,295.93,4.22
379,constitucion,100,MX,1569565574,83,23.99,-104.67,289.26,1.79
380,pimentel,4,BR,1569565245,94,-3.7,-45.5,295.572,1.39
